Experiment Name,Crossover,Mutation Rate,Mutation,Selection,Survivor Selection,Generation Number,Generation Log File,Best Fitness,Lowest Fitness,Average Fitness,Standard Deviation Fitness,Median Fitness
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,1,../RESULTS/Combination_Experiment_1/Results_Gen_1_20231225_170119.txt,-0.709099026747874,-2.1715093604877564,-1.7571522461664144,0.33894842771971617,-1.8810802473780226
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,2,../RESULTS/Combination_Experiment_1/Results_Gen_2_20231225_170132.txt,-0.6644156845279408,-1.8805076032877965,-1.5577368415770634,0.31108002015008,-1.6980412736043142
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,3,../RESULTS/Combination_Experiment_1/Results_Gen_3_20231225_170145.txt,-0.6644156845279408,-1.613201888159781,-1.2973971350204723,0.24776902111706636,-1.3261369490017398
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,4,../RESULTS/Combination_Experiment_1/Results_Gen_4_20231225_170158.txt,-0.5382959809637619,-1.3267517143327703,-1.0715190966797672,0.20668239774607364,-1.1441989601665863
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,5,../RESULTS/Combination_Experiment_1/Results_Gen_5_20231225_170211.txt,-0.44262830851061613,-1.130395522192351,-0.9014239204617761,0.15490599157780008,-0.9177029318737024
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,6,../RESULTS/Combination_Experiment_1/Results_Gen_6_20231225_170224.txt,-0.34132717868789575,-0.9220622182248184,-0.7714885021635006,0.12582692413336458,-0.7936344837151569
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,7,../RESULTS/Combination_Experiment_1/Results_Gen_7_20231225_170237.txt,-0.34132717868789575,-0.791435476290969,-0.6584902453819351,0.12615457918712178,-0.6896412700449347
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,8,../RESULTS/Combination_Experiment_1/Results_Gen_8_20231225_170249.txt,-0.3023620960412104,-0.707455030927031,-0.5611107221168186,0.11486725892299501,-0.6010069271483472
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,9,../RESULTS/Combination_Experiment_1/Results_Gen_9_20231225_170302.txt,-0.24079629374153605,-0.6010069271483472,-0.4597372901639714,0.0903126463374975,-0.4768159231585465
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,10,../RESULTS/Combination_Experiment_1/Results_Gen_10_20231225_170315.txt,-0.17484950815472847,-0.48702111988737995,-0.37785698461961065,0.07918975895014173,-0.3905664493688843
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,11,../RESULTS/Combination_Experiment_1/Results_Gen_11_20231225_170327.txt,-0.1617964601834734,-0.4023759211939645,-0.31420320599499413,0.0637729029330399,-0.3363627524241546
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,12,../RESULTS/Combination_Experiment_1/Results_Gen_12_20231225_170340.txt,-0.12427543280938769,-0.33963548758499784,-0.2614437302539568,0.054647476487543534,-0.27169134661868244
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,13,../RESULTS/Combination_Experiment_1/Results_Gen_13_20231225_170352.txt,-0.08829449264437197,-0.2771232826876738,-0.21678829404672892,0.04694735798367722,-0.22995283583886844
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,14,../RESULTS/Combination_Experiment_1/Results_Gen_14_20231225_170404.txt,-0.08829449264437197,-0.2327172469677959,-0.18706171445571249,0.03718828103701422,-0.18930503429046325
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,15,../RESULTS/Combination_Experiment_1/Results_Gen_15_20231225_170417.txt,-0.06750918737562002,-0.19943749445016112,-0.1512936986008559,0.03301005975810653,-0.161823381690493
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,16,../RESULTS/Combination_Experiment_1/Results_Gen_16_20231225_170429.txt,-0.06750918737562002,-0.1680808338113923,-0.134043824181976,0.02880980510080821,-0.14247733018960246
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,17,../RESULTS/Combination_Experiment_1/Results_Gen_17_20231225_170441.txt,-0.06750918737562002,-0.1537286491658571,-0.11937535524378017,0.024656953723664828,-0.12516592744925978
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,18,../RESULTS/Combination_Experiment_1/Results_Gen_18_20231225_170453.txt,-0.02961561162633021,-0.13068012395567616,-0.09394589597681041,0.025987377800715087,-0.09768199085995613
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,19,../RESULTS/Combination_Experiment_1/Results_Gen_19_20231225_170505.txt,0.017930640872186165,-0.11170243583915017,-0.07972582943527015,0.02739761647880807,-0.08362762178993811
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,20,../RESULTS/Combination_Experiment_1/Results_Gen_20_20231225_170518.txt,0.017930640872186165,-0.09124143536135862,-0.06745506140252047,0.022818553882113592,-0.07130517898002683
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,21,../RESULTS/Combination_Experiment_1/Results_Gen_21_20231225_170530.txt,0.017930640872186165,-0.08267354385863855,-0.05728030346846894,0.022424712633806198,-0.06389854895410554
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,22,../RESULTS/Combination_Experiment_1/Results_Gen_22_20231225_170542.txt,0.017930640872186165,-0.06750918737562002,-0.03912095249726882,0.024686704227235456,-0.041582377314829624
Combination_Experiment_1,Single Point Crossover,0.01,Creep Mutation,Roulette Wheel Selection,Truncation Survivor Selection,23,../RESULTS/Combination_Experiment_1/Results_Gen_23_20231225_170555.txt,0.029346524931314115,-0.05983535916064455,-0.02655795188233647,0.02345597737101495,-0.032843223620409104
