Experiment: Combination_Experiment_115
Generation: 27
Timestamp: 20231227_211651

Genotypes and their Fitness Values:
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.22044394269268158
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.22044394269268158
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21938178992149154
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21938178992149154
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21938178992149154
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21938178992149154
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09450550689384332, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21932817801521953
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09450550689384332, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21932817801521953
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.0, 10.236563299304759] - Fitness: 0.21731279747526608
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.21685978546838527
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.21685978546838527
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.21685978546838527
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10114037471624018, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.21663988247805707
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.2157972850048982
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10114037471624018, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21557641959427842
[0.0085, 0.4522879109370598, 0.13, -0.8786921177927979, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.21146022007219023
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.010824560087104, 10.236563299304759] - Fitness: 0.21102308237640902
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.20996084967297785
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.20996084967297785
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.20996084967297785
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.20996084967297785
[0.0085, 0.4522879109370598, 0.13, -0.8786921177927979, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.20413921983503092
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.20263147786816443
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.20263147786816443
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09450550689384332, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.20257814883513245
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09450550689384332, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.20257814883513245
[0.0085, 0.4522879109370598, 0.13, -0.8786921177927979, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.2005406210918171
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19903307974371354
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19903307974371354
[0.0085, 0.4522879109370598, 0.13, -0.8786921177927979, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19468251170412035
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19317585418320038
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19317585418320038
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19317585418320038
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.11106495070742561, -0.003, 0.0025, 7.40787043141281, 10.246264070133854] - Fitness: 0.19317585418320038
[0.0085, 0.4522879109370598, 0.12875961425820956, -0.8565016111665732, 0.26, -0.023, 0.08223506106067438, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18949730734748282
[0.0085, 0.4339546207600094, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18756000384149177
[0.0085, 0.4339546207600094, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18756000384149177
[0.0085, 0.4339546207600094, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18756000384149177
[0.0085, 0.4339546207600094, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18756000384149177
[0.0085, 0.4339546207600094, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18756000384149177
[0.0085, 0.4339546207600094, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10114037471624018, -0.003, 0.0025, 7.010824560087104, 10.246264070133854] - Fitness: 0.18733245857140884
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.002776043254780495, 7.010824560087104, 10.246264070133854] - Fitness: 0.18706999365510554
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10075164203134981, -0.003, 0.002776043254780495, 7.010824560087104, 10.246264070133854] - Fitness: 0.18706999365510554
[0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.10114037471624018, -0.003, 0.002776043254780495, 7.010824560087104, 10.246264070133854] - Fitness: 0.18685072011847279

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.236563299304759]:
  Angle -10: cl=-0.5630993843078613, cd=0.23437310755252838, cm=-0.18969596922397614
  Angle -9: cl=-0.5955538749694824, cd=0.2025793194770813, cm=-0.18413956463336945
  Angle -8: cl=-0.6182466745376587, cd=0.1673325151205063, cm=-0.182310089468956
  Angle -7: cl=-0.6525678634643555, cd=0.1326533406972885, cm=-0.17841286957263947
  Angle -6: cl=-0.6117304563522339, cd=0.11734794825315475, cm=-0.16405628621578217
  Angle -5: cl=-0.5063772201538086, cd=0.1055004671216011, cm=-0.15088869631290436
  Angle -4: cl=-0.403275728225708, cd=0.09862145781517029, cm=-0.13886751234531403
  Angle -3: cl=-0.3009151220321655, cd=0.09257279336452484, cm=-0.1249639242887497
  Angle -2: cl=-0.21897034347057343, cd=0.08706977218389511, cm=-0.10399459302425385
  Angle -1: cl=-0.15876157581806183, cd=0.08261038362979889, cm=-0.07473812997341156
  Angle 0: cl=-0.09239611029624939, cd=0.08198219537734985, cm=-0.0456802099943161
  Angle 1: cl=-0.00955142267048359, cd=0.08228959888219833, cm=-0.022957727313041687
  Angle 2: cl=0.0731675997376442, cd=0.08314897119998932, cm=-0.007447198033332825
  Angle 3: cl=0.3092277944087982, cd=0.06751252710819244, cm=-0.002166256308555603
  Angle 4: cl=0.41295915842056274, cd=0.07275768369436264, cm=0.0026371628046035767
  Angle 5: cl=0.5112533569335938, cd=0.0810517892241478, cm=0.0060246288776397705
  Angle 6: cl=0.6022734642028809, cd=0.08848903328180313, cm=0.008738577365875244
  Angle 7: cl=0.6921946406364441, cd=0.09507805109024048, cm=0.010884523391723633
  Angle 8: cl=0.7824102640151978, cd=0.10132108628749847, cm=0.011778116226196289
  Angle 9: cl=0.8763507008552551, cd=0.10519189387559891, cm=0.003637075424194336
  Angle 10: cl=0.9762654900550842, cd=0.10979092866182327, cm=-0.0043477267026901245
Genotype [0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.236563299304759]:
  Angle -10: cl=-0.5630993843078613, cd=0.23437310755252838, cm=-0.18969596922397614
  Angle -9: cl=-0.5955538749694824, cd=0.2025793194770813, cm=-0.18413956463336945
  Angle -8: cl=-0.6182466745376587, cd=0.1673325151205063, cm=-0.182310089468956
  Angle -7: cl=-0.6525678634643555, cd=0.1326533406972885, cm=-0.17841286957263947
  Angle -6: cl=-0.6117304563522339, cd=0.11734794825315475, cm=-0.16405628621578217
  Angle -5: cl=-0.5063772201538086, cd=0.1055004671216011, cm=-0.15088869631290436
  Angle -4: cl=-0.403275728225708, cd=0.09862145781517029, cm=-0.13886751234531403
  Angle -3: cl=-0.3009151220321655, cd=0.09257279336452484, cm=-0.1249639242887497
  Angle -2: cl=-0.21897034347057343, cd=0.08706977218389511, cm=-0.10399459302425385
  Angle -1: cl=-0.15876157581806183, cd=0.08261038362979889, cm=-0.07473812997341156
  Angle 0: cl=-0.09239611029624939, cd=0.08198219537734985, cm=-0.0456802099943161
  Angle 1: cl=-0.00955142267048359, cd=0.08228959888219833, cm=-0.022957727313041687
  Angle 2: cl=0.0731675997376442, cd=0.08314897119998932, cm=-0.007447198033332825
  Angle 3: cl=0.3092277944087982, cd=0.06751252710819244, cm=-0.002166256308555603
  Angle 4: cl=0.41295915842056274, cd=0.07275768369436264, cm=0.0026371628046035767
  Angle 5: cl=0.5112533569335938, cd=0.0810517892241478, cm=0.0060246288776397705
  Angle 6: cl=0.6022734642028809, cd=0.08848903328180313, cm=0.008738577365875244
  Angle 7: cl=0.6921946406364441, cd=0.09507805109024048, cm=0.010884523391723633
  Angle 8: cl=0.7824102640151978, cd=0.10132108628749847, cm=0.011778116226196289
  Angle 9: cl=0.8763507008552551, cd=0.10519189387559891, cm=0.003637075424194336
  Angle 10: cl=0.9762654900550842, cd=0.10979092866182327, cm=-0.0043477267026901245
Genotype [0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854]:
  Angle -10: cl=-0.5630864500999451, cd=0.23436039686203003, cm=-0.1896888166666031
  Angle -9: cl=-0.5955644845962524, cd=0.20256902277469635, cm=-0.18413101136684418
  Angle -8: cl=-0.6182565093040466, cd=0.16731902956962585, cm=-0.18229509890079498
  Angle -7: cl=-0.6525830030441284, cd=0.1326414942741394, cm=-0.17839162051677704
  Angle -6: cl=-0.6117904782295227, cd=0.11733511835336685, cm=-0.1640346795320511
  Angle -5: cl=-0.5064477920532227, cd=0.10549658536911011, cm=-0.1508706957101822
  Angle -4: cl=-0.4033331573009491, cd=0.09861698001623154, cm=-0.13884936273097992
  Angle -3: cl=-0.3009665012359619, cd=0.09256579726934433, cm=-0.12494181096553802
  Angle -2: cl=-0.2190491259098053, cd=0.08706027269363403, cm=-0.10396145284175873
  Angle -1: cl=-0.15884412825107574, cd=0.0826021134853363, cm=-0.07470495998859406
  Angle 0: cl=-0.09252142906188965, cd=0.08197541534900665, cm=-0.045639559626579285
  Angle 1: cl=-0.009685119614005089, cd=0.0822853147983551, cm=-0.02291901409626007
  Angle 2: cl=0.07302213460206985, cd=0.08314193785190582, cm=-0.007405444979667664
  Angle 3: cl=0.30905744433403015, cd=0.06750688701868057, cm=-0.0021213293075561523
  Angle 4: cl=0.41273751854896545, cd=0.07277017086744308, cm=0.00266072154045105
  Angle 5: cl=0.5110360980033875, cd=0.08106482774019241, cm=0.006048873066902161
  Angle 6: cl=0.6020732522010803, cd=0.08850062638521194, cm=0.00876210629940033
  Angle 7: cl=0.6919952034950256, cd=0.09508959203958511, cm=0.010905787348747253
  Angle 8: cl=0.7822108864784241, cd=0.1013227105140686, cm=0.011774301528930664
  Angle 9: cl=0.8761457800865173, cd=0.10519299656152725, cm=0.0036326348781585693
  Angle 10: cl=0.9760608673095703, cd=0.10979203879833221, cm=-0.004352256655693054
Genotype [0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854]:
  Angle -10: cl=-0.5630864500999451, cd=0.23436039686203003, cm=-0.1896888166666031
  Angle -9: cl=-0.5955644845962524, cd=0.20256902277469635, cm=-0.18413101136684418
  Angle -8: cl=-0.6182565093040466, cd=0.16731902956962585, cm=-0.18229509890079498
  Angle -7: cl=-0.6525830030441284, cd=0.1326414942741394, cm=-0.17839162051677704
  Angle -6: cl=-0.6117904782295227, cd=0.11733511835336685, cm=-0.1640346795320511
  Angle -5: cl=-0.5064477920532227, cd=0.10549658536911011, cm=-0.1508706957101822
  Angle -4: cl=-0.4033331573009491, cd=0.09861698001623154, cm=-0.13884936273097992
  Angle -3: cl=-0.3009665012359619, cd=0.09256579726934433, cm=-0.12494181096553802
  Angle -2: cl=-0.2190491259098053, cd=0.08706027269363403, cm=-0.10396145284175873
  Angle -1: cl=-0.15884412825107574, cd=0.0826021134853363, cm=-0.07470495998859406
  Angle 0: cl=-0.09252142906188965, cd=0.08197541534900665, cm=-0.045639559626579285
  Angle 1: cl=-0.009685119614005089, cd=0.0822853147983551, cm=-0.02291901409626007
  Angle 2: cl=0.07302213460206985, cd=0.08314193785190582, cm=-0.007405444979667664
  Angle 3: cl=0.30905744433403015, cd=0.06750688701868057, cm=-0.0021213293075561523
  Angle 4: cl=0.41273751854896545, cd=0.07277017086744308, cm=0.00266072154045105
  Angle 5: cl=0.5110360980033875, cd=0.08106482774019241, cm=0.006048873066902161
  Angle 6: cl=0.6020732522010803, cd=0.08850062638521194, cm=0.00876210629940033
  Angle 7: cl=0.6919952034950256, cd=0.09508959203958511, cm=0.010905787348747253
  Angle 8: cl=0.7822108864784241, cd=0.1013227105140686, cm=0.011774301528930664
  Angle 9: cl=0.8761457800865173, cd=0.10519299656152725, cm=0.0036326348781585693
  Angle 10: cl=0.9760608673095703, cd=0.10979203879833221, cm=-0.004352256655693054
Genotype [0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854]:
  Angle -10: cl=-0.5630864500999451, cd=0.23436039686203003, cm=-0.1896888166666031
  Angle -9: cl=-0.5955644845962524, cd=0.20256902277469635, cm=-0.18413101136684418
  Angle -8: cl=-0.6182565093040466, cd=0.16731902956962585, cm=-0.18229509890079498
  Angle -7: cl=-0.6525830030441284, cd=0.1326414942741394, cm=-0.17839162051677704
  Angle -6: cl=-0.6117904782295227, cd=0.11733511835336685, cm=-0.1640346795320511
  Angle -5: cl=-0.5064477920532227, cd=0.10549658536911011, cm=-0.1508706957101822
  Angle -4: cl=-0.4033331573009491, cd=0.09861698001623154, cm=-0.13884936273097992
  Angle -3: cl=-0.3009665012359619, cd=0.09256579726934433, cm=-0.12494181096553802
  Angle -2: cl=-0.2190491259098053, cd=0.08706027269363403, cm=-0.10396145284175873
  Angle -1: cl=-0.15884412825107574, cd=0.0826021134853363, cm=-0.07470495998859406
  Angle 0: cl=-0.09252142906188965, cd=0.08197541534900665, cm=-0.045639559626579285
  Angle 1: cl=-0.009685119614005089, cd=0.0822853147983551, cm=-0.02291901409626007
  Angle 2: cl=0.07302213460206985, cd=0.08314193785190582, cm=-0.007405444979667664
  Angle 3: cl=0.30905744433403015, cd=0.06750688701868057, cm=-0.0021213293075561523
  Angle 4: cl=0.41273751854896545, cd=0.07277017086744308, cm=0.00266072154045105
  Angle 5: cl=0.5110360980033875, cd=0.08106482774019241, cm=0.006048873066902161
  Angle 6: cl=0.6020732522010803, cd=0.08850062638521194, cm=0.00876210629940033
  Angle 7: cl=0.6919952034950256, cd=0.09508959203958511, cm=0.010905787348747253
  Angle 8: cl=0.7822108864784241, cd=0.1013227105140686, cm=0.011774301528930664
  Angle 9: cl=0.8761457800865173, cd=0.10519299656152725, cm=0.0036326348781585693
  Angle 10: cl=0.9760608673095703, cd=0.10979203879833221, cm=-0.004352256655693054
Genotype [0.0085, 0.4522879109370598, 0.13, -0.8565016111665732, 0.25938672513236705, -0.023, 0.09441098806541577, -0.003, 0.0025, 7.010824560087104, 10.246264070133854]:
  Angle -10: cl=-0.5630864500999451, cd=0.23436039686203003, cm=-0.1896888166666031
  Angle -9: cl=-0.5955644845962524, cd=0.20256902277469635, cm=-0.18413101136684418
  Angle -8: cl=-0.6182565093040466, cd=0.16731902956962585, cm=-0.18229509890079498
  Angle -7: cl=-0.6525830030441284, cd=0.1326414942741394, cm=-0.17839162051677704
